,Company,Name,Age,Judges_Evaluation1,Judges_Evaluation2,Ranking_Ep.1,Ranking_Ep.2,Ranking_Ep.3,Ranking_Ep.5,Votes_Ep.5,Ranking_Ep.6,Ranking_Ep.8,Votes_Ep.8,Ranking_Ep.11,Votes_Ep.11,Ranking_Ep.12,Votes_Ep.12,Total_Votes,Final_Ranking,Height,Weight,Skill,TrainningMonths
0,Starship Entertainment ,Koo Jungmo ,20,X,F,2,9,9,9,669616,8,5,1334726,15,172337,12,704748,2881427,13/6,181,58,singer,14
1,TOP Media ,Lee Jinhyuk ,24,B,A,38,35,32,25,274197,11,2,1480425,3,351174,11,719466,2825262,14/7,185,62,rapper,86
2,C9 Entertainment,Keum Donghyun ,17,B,C,23,26,30,17,360277,16,19,680687,10,187264,14,674500,1902728,17/8,174,55,dancer,22
